id,symbol,name
400,FNF,裕隆期貨
401,FOF,中華期貨
402,FP1,三陽期貨
403,FPF,三陽期貨
404,FQ,光寶科(股票期貨)
405,FQ1,光寶科期貨
406,FQF,光寶科期貨
407,FR,台達電(股票期貨)
408,FR1,台達電期貨
409,FRF,台達電期貨
410,FSF,金寶期貨
411,FT,華通(股票期貨)
412,FTF,華通期貨
413,FUF,神達期貨
414,FV,精英(股票期貨)
415,FV1,精英期貨
416,FVF,精英期貨
417,FW,友訊(股票期貨)
418,FW1,友訊期貨
419,FWF,友訊期貨
420,FXF,金融期貨
421,FY,光磊(股票期貨)
422,FY1,光磊期貨
423,FYF,光磊期貨
424,FZ,華邦電(股票期貨)
425,FZ1,華邦電期貨
426,FZF,華邦電期貨
427,G2F,富櫃200期貨
428,GA,聯強(股票期貨)
429,GA1,聯強期貨
430,GAF,聯強期貨
431,GBF,十年期公債期貨
432,GC,鴻準(股票期貨)
433,GC1,鴻準期貨
434,GCF,鴻準期貨
435,GDF,黃金期貨
436,GE1,藍天期貨
437,GEF,藍天期貨
438,GFF,矽統期貨
439,GG1,佳能期貨
440,GGF,佳能期貨
441,GH,技嘉(股票期貨)
442,GHF,技嘉期貨
443,GI,微星(股票期貨/選擇權)
444,GIA,微星選擇權
445,GIF,微星期貨
446,GIO,微星選擇權
447,GJ,瑞昱(股票期貨)
448,GJ1,瑞昱期貨
449,GJF,瑞昱期貨
450,GK1,群光期貨
451,GKF,群光期貨
452,GL,正崴(股票期貨)
453,GL1,正崴期貨
454,GLF,正崴期貨
455,GM,億光(股票期貨)
456,GMF,億光期貨
457,GN,凌陽(股票期貨)
458,GNF,凌陽期貨
459,GO,漢唐(股票期貨)
460,GO1,漢唐期貨
461,GOF,漢唐期貨
462,GP1,國碩期貨
463,GPF,國碩期貨
464,GQF,燦坤期貨
465,GR,京元電子(股票期貨)
466,GRF,京元電子期貨
467,GSF,神腦期貨
468,GTF,櫃買期貨
469,GTO,櫃買選擇權
470,GU,全新(股票期貨)
471,GU1,全新期貨
472,GUF,全新期貨
473,GVF,飛宏期貨
474,GW,義隆(股票期貨)
475,GW1,義隆期貨
476,GWF,義隆期貨
477,GX,可成(股票期貨/選擇權)
478,GXA,可成選擇權
479,GXF,可成期貨
480,GXO,可成選擇權
481,GYF,強茂期貨
482,GZ,兆赫(股票期貨)
483,GZF,兆赫期貨
484,HA,瑞軒(股票期貨)
485,HA1,瑞軒期貨
486,HAF,瑞軒期貨
487,HB,華新科(股票期貨)
488,HB1,華新科期貨
489,HBF,華新科期貨
490,HC,宏達電(股票期貨/選擇權)
491,HC1,宏達電期貨
492,HCA,宏達電選擇權
493,HCF,宏達電期貨
494,HCO,宏達電選擇權
495,HD1,東貝期貨
496,HDF,東貝期貨
497,HEF,國建期貨
498,HF1,國產期貨
499,HFF,國產期貨
500,HG1,太子期貨
501,HGF,太子期貨
502,HH,中工(股票期貨)
503,HHF,中工期貨
504,HI,冠德(股票期貨)
505,HI1,冠德期貨
506,HIF,冠德期貨
507,HJF,宏盛期貨
508,HK1,宏普期貨
509,HKF,宏普期貨
510,HL,興富發(股票期貨)
511,HL1,興富發期貨
512,HLF,興富發期貨
513,HMF,皇翔期貨
514,HN1,日勝生期貨
515,HN2,日勝生期貨
516,HNF,日勝生期貨
517,HO,華固(股票期貨)
518,HO1,華固期貨
519,HOF,華固期貨
520,HP1,益航期貨
521,HPF,益航期貨
522,HQF,新興期貨
523,HRF,榮運期貨
524,HS,長榮航(股票期貨)
525,HS1,長榮航期貨
526,HS2,長榮航期貨
527,HSF,長榮航期貨
528,HTF,國賓期貨
529,HU1,晶華期貨
530,HUF,晶華期貨
531,HVF,京城銀期貨
532,HW1,台中銀期貨
533,HW2,台中銀期貨
534,HWF,台中銀期貨
535,HXF,華票期貨
536,HY,中壽(股票期貨)
537,HY1,中壽期貨
538,HYF,中壽期貨
539,HZ1,台壽保期貨
540,HZF,台壽保期貨
541,I5F,印度50期貨
542,IA,臺企銀(股票期貨)
543,IA1,臺企銀期貨
544,IA2,臺企銀期貨
545,IAF,臺企銀期貨
546,IB1,遠東銀期貨
547,IBF,遠東銀期貨
548,IC1,大眾銀期貨
549,ICF,大眾銀期貨
550,IDF,元富證期貨
551,IE1,國票金期貨
552,IEF,國票金期貨
553,IF1,遠百期貨
554,IFF,遠百期貨
555,IG1,特力期貨
556,IGF,特力期貨
557,IH,農林(股票期貨)
558,IHF,農林期貨
559,II,晶豪科(股票期貨)
560,IIF,晶豪科期貨
561,IJ,大立光(股票期貨/選擇權)
562,IJA,大立光選擇權
563,IJF,大立光期貨
564,IJO,大立光選擇權
565,IKF,華立期貨
566,ILF,晟銘電期貨
567,IM,亞光(股票期貨)
568,IMF,亞光期貨
569,IN1,威強電期貨
570,INF,威強電期貨
571,IO,聯詠(股票期貨)
572,IOF,聯詠期貨
573,IP,智原(股票期貨)
574,IP1,智原期貨
575,IPF,智原期貨
576,IQ,文曄(股票期貨)
577,IQ1,文曄期貨
578,IQ2,文曄期貨
579,IQF,文曄期貨
580,IR,欣興(股票期貨)
581,IRF,欣興期貨
582,ISF,揚智期貨
583,IT,晶技(股票期貨)
584,IT1,晶技期貨
585,ITF,晶技期貨
586,IU1,科風期貨
587,IUF,科風期貨
588,IV1,銘異期貨
589,IVF,銘異期貨
590,IWF,璨圓期貨
591,IX,景碩(股票期貨)
592,IXF,景碩期貨
593,IY,新日興(股票期貨)
594,IY1,新日興期貨
595,IYF,新日興期貨
596,IZ,明泰(股票期貨)
597,IZ1,明泰期貨
598,IZF,明泰期貨
599,JA1,新世紀期貨
600,JA2,新世紀期貨
601,JAF,新世紀期貨
602,JB,創意(股票期貨)
603,JBF,創意期貨
604,JCF,揚明光期貨
605,JD1,昱晶期貨
606,JDF,昱晶期貨
607,JE1,綠能期貨
608,JE2,綠能期貨
609,JEF,綠能期貨
610,JF,嘉澤(股票期貨)
611,JF1,嘉澤期貨
612,JFF,嘉澤期貨
613,JG1,昇陽光電期貨
614,JGF,昇陽光電期貨
615,JH1,穎台期貨
616,JHF,穎台期貨
617,JI1,聯合再生期貨
618,JI2,聯合再生期貨
619,JIF,聯合再生期貨
620,JJ1,尚志期貨
621,JJF,尚志期貨
622,JK1,艾笛森期貨
623,JKF,艾笛森期貨
624,JL1,洋華期貨
625,JLF,洋華期貨
626,JM,健策(股票期貨)
627,JM1,健策期貨
628,JM2,健策期貨
629,JMF,健策期貨
630,JN,TPK-KY(股票期貨)
631,JN1,F-TPK期貨
632,JNF,TPK-KY期貨
633,JO1,F-晨星期貨
634,JOF,F-晨星期貨
635,JP,大聯大(股票期貨)
636,JP1,大聯大期貨
637,JPF,大聯大期貨
638,JQF,合勤控期貨
639,JRF,信昌化期貨
640,JS,和碩(股票期貨)
641,JSF,和碩期貨
642,JT1,訊連期貨
643,JTF,訊連期貨
644,JUF,遠雄期貨
645,JV1,鄉林期貨
646,JVF,鄉林期貨
647,JW,長虹(股票期貨)
648,JW1,長虹期貨
649,JWF,長虹期貨
650,JX1,群益證期貨
651,JXF,群益證期貨
652,JYF,輔祥期貨
653,JZ,嘉聯益(股票期貨)
654,JZ1,嘉聯益期貨
655,JZF,嘉聯益期貨
656,KA,瑞儀(股票期貨)
657,KA1,瑞儀期貨
658,KAF,瑞儀期貨
659,KB,聯茂(股票期貨)
660,KB1,聯茂期貨
661,KBF,聯茂期貨
662,KC,力成(股票期貨)
663,KC1,力成期貨
664,KCF,力成期貨
665,KD,同欣電(股票期貨)
666,KD1,同欣電期貨
667,KDF,同欣電期貨
668,KE,台表科(股票期貨)
669,KE1,台表科期貨
670,KEF,台表科期貨
671,KF,康舒(股票期貨)
672,KFF,康舒期貨
673,KG,啟碁(股票期貨)
674,KG1,啟碁期貨
675,KGF,啟碁期貨
676,KHF,立錡期貨
677,KI,台虹(股票期貨)
678,KI1,台虹期貨
679,KIF,台虹期貨
680,KJF,華寶期貨
681,KK,達方(股票期貨)
682,KKF,達方期貨
683,KL,寶成(股票期貨)
684,KLF,寶成期貨
685,KMF,大華期貨
686,KNF,成霖期貨
687,KO,宏全(股票期貨)
688,KO1,宏全期貨
689,KOF,宏全期貨
690,KP,潤泰新(股票期貨)
691,KP1,潤泰新期貨
692,KPF,潤泰新期貨
693,KQ1,嘉泥期貨
694,KQF,嘉泥期貨
695,KRF,味全期貨
696,KS,聚陽(股票期貨)
697,KS1,聚陽期貨
698,KSF,聚陽期貨
699,KT1,喬山期貨
700,KTF,喬山期貨
701,KU,台玻(股票期貨)
702,KU1,台玻期貨
703,KUF,台玻期貨
704,KV1,台船期貨
705,KVF,台船期貨
706,KW,廣宇(股票期貨)
707,KW1,廣宇期貨
708,KWF,廣宇期貨
709,KXF,震旦行期貨
710,KYF,普安期貨
711,KZF,大榮期貨
712,LA1,三商行期貨
713,LAF,三商行期貨
714,LB,健鼎(股票期貨)
715,LBF,健鼎期貨
716,LC,台灣大(股票期貨)
717,LC1,台灣大期貨
718,LCF,台灣大期貨
719,LDF,建漢期貨
720,LE,玉晶光(股票期貨)
721,LE1,玉晶光期貨
722,LEF,玉晶光期貨
723,LFF,欣陸期貨
724,LG1,永信期貨
725,LGF,永信期貨
726,LHF,松翰期貨
727,LI,台郡(股票期貨)
728,LI1,台郡期貨
729,LIF,台郡期貨
730,LJF,陞泰期貨
731,LKF,致新期貨
732,LLF,統一實期貨
733,LM,美利達(股票期貨)
734,LM1,美利達期貨
735,LMF,美利達期貨
736,LNF,裕融期貨
737,LO,合庫金(股票期貨/選擇權)
738,LO1,合庫金期貨
739,LO2,合庫金期貨
740,LOA,合庫金選擇權
741,LOF,合庫金期貨
